ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,CCC_p,Group,Variable,Epoch,n
0.706292443343797,-0.18,0.93,0.041160004265114,0.520114603526718,0.127192444514753,Female matched,MCAv mean,Min 2,10
0.279475345810773,-1.9,0.82,0.316614093569458,0.160390734116795,0.668614662491281,Female matched,CVCi,Baseline,10
0.496733584781044,-1.03,0.87,0.160480409785974,0.309286235907673,0.397555683165124,Female matched,CVCi,Min 1,10
0.525281609802105,-0.91,0.88,0.141152031580836,0.342658904544155,0.344759329551524,Female matched,CVCi,Min 2,10
0.85455486201216,0.41,0.96,0.0041872476610519,0.739137117356875,0.0120836226746512,Female matched,MCAv pulsatility,Baseline,10
0.122999913110499,-2.53,0.78,0.424097101222864,0.058903266880935,0.87601409610808,Female matched,MCAv pulsatility,Min 1,10
0.795376036978933,0.18,0.95,0.0135130897657513,0.649640268703308,0.0404034641495767,Female matched,MCAv pulsatility,Min 2,10
0.734673950868187,-0.18,0.94,0.0392073828534327,0.496147495003233,0.182541760438478,Female matched,ET-CO2,Baseline,9
0.787728078471714,0.06,0.95,0.0209924938948342,0.639955946004477,0.0633174078231208,Female matched,ET-CO2,Min 1,9
0.926249684274477,0.63,0.99,0.00137927427828513,0.818257747652919,0.0100274264430882,Female matched,ET-CO2,Min 2,8
0.759167411274733,0.16,0.93,0.0131335943577504,0.596205269883117,0.0392347257040239,Female unmatched,SBP,Baseline,12
0.644841387092607,-0.23,0.9,0.0501278048613901,0.461198319619246,0.134524222308701,Female unmatched,SBP,Min 1,12
0.788280667475541,0.26,0.94,0.00802696444238532,0.650477511476532,0.0198920390884169,Female unmatched,SBP,Min 2,12
0.62361955722475,-0.31,0.89,0.0599914098741296,0.448710232564097,0.147267061293723,Female unmatched,DBP,Baseline,12
0.729170353029902,0.06,0.92,0.0201633226336848,0.545462136064938,0.0664026944020224,Female unmatched,DBP,Min 1,12
0.763787384182282,0.18,0.93,0.0122139089933452,0.615319941866894,0.0313725904161853,Female unmatched,DBP,Min 2,12
0.801288549346341,0.31,0.94,0.00624996577407518,0.662227679990423,0.0168340263615812,Female unmatched,MBP,Baseline,12
0.682442713211756,-0.1,0.91,0.0349038369317829,0.506156494879134,0.0943969145315204,Female unmatched,MBP,Min 1,12
0.761115523387419,0.17,0.93,0.0127406146983298,0.614353915273082,0.031741168727862,Female unmatched,MBP,Min 2,12
0.945376094718181,0.81,0.98,1.67049868145438e-05,0.893616533058561,1.56886678251705e-05,Female unmatched,HR,Baseline,12
0.961057387158048,0.86,0.99,2.98450542376797e-06,0.909003498858241,4.98843781157995e-06,Female unmatched,HR,Min 1,12
0.899431088395168,0.65,0.97,0.000323341082435413,0.812924918600974,0.000657340557813922,Female unmatched,HR,Min 2,12
0.127132835139092,-2.24,0.77,0.416985112075348,0.0672725159412358,0.848867802746517,Female unmatched,MCAv mean,Baseline,11
0.792659266536593,0.23,0.94,0.0101967376334428,0.64533549155514,0.0299955367633001,Female unmatched,MCAv mean,Min 1,11
0.582190025483602,-0.55,0.89,0.0924304198598463,0.410298534675081,0.217534818404468,Female unmatched,MCAv mean,Min 2,11
0.325652565387086,-1.51,0.82,0.272346907456522,0.19210911503198,0.582180044775261,Female unmatched,CVCi,Baseline,11
0.537015937404068,-0.72,0.88,0.120251312204544,0.351071929865629,0.299695017026964,Female unmatched,CVCi,Min 1,11
0.509682064817228,-0.82,0.87,0.138278358346397,0.341278406196582,0.314600595005096,Female unmatched,CVCi,Min 2,11
0.553820450845876,-0.66,0.88,0.109590817822149,0.38277225304385,0.253988392550427,Female unmatched,MCAv pulsatility,Baseline,11
0.500862281327412,-0.86,0.87,0.144257359905848,0.316260467410033,0.354304820633853,Female unmatched,MCAv pulsatility,Min 1,11
-0.194323706336244,-3.44,0.68,0.607835761950622,-0.0881902038551069,0.802518311849557,Female unmatched,MCAv pulsatility,Min 2,11
0.809878472660735,0.29,0.95,0.0074333707783618,0.68013718132238,0.018985757477819,Female unmatched,ET-CO2,Baseline,11
0.0915427673426302,-2.38,0.76,0.441158925210847,0.0430122207362699,0.903111238423839,Female unmatched,ET-CO2,Min 1,11
0.0807708525733272,-2.42,0.75,0.448337758212811,0.0371828847001652,0.916203155242005,Female unmatched,ET-CO2,Min 2,11
