Variable,Epoch,n,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,CCC_p
HR,Min 1,49,1.05205865306122,7.84013507263573,fan,-9.43456094857143,11.5386782546939,0.174621278680787,0.230123771688645,0.420918367346939,0.00259837209519948,0.833010122493085,0.7,0.91,2.95951346449023e-09,0.710075454127259,1.76360888129353e-09
HR,Min 2,49,1.7745222244898,7.11945221236102,regression+fan,-7.62697358028138,11.176018029261,0.314635077461412,0.027676399253853,0.344591836734694,0.015323292145716,0.826384540767254,0.69,0.9,5.81103661399176e-09,0.691166890102268,8.10570077762762e-09
Q (cardiac),Baseline,49,-0.353789846938776,1.24079803239241,standard,-2.7857539904279,2.07817429655035,-0.0454927948204391,0.756264819521946,0.0608163265306122,0.678062128793246,0.741818836681516,0.54,0.85,3.31425337965322e-06,0.570175571145765,1.11551623365604e-05
Q (cardiac),Min 1,49,0.0805169693877551,1.00759608195787,fan,-1.26539733183673,1.42643127061225,0.0557371010045591,0.703660713697531,0.347244897959184,0.0145027553534056,0.751121126082167,0.56,0.86,1.92667630794188e-06,0.599877792201853,2.60342492437992e-06
Q (cardiac),Min 2,49,0.0300423571428571,1.13277715522111,standard,-2.19020086709052,2.25028558137623,0.11438654060433,0.433856659653962,0.0968367346938775,0.508024812600703,0.621572087504285,0.33,0.79,0.00050734307472708,0.45075054601311,0.000988487967958316
TPR,Baseline,48,71.2418150833333,285.273479767712,fan,-298.9100389875,441.393669154167,0.131438802159978,0.373196018181422,0.413048198002605,0.00352549760556222,0.633094277894679,0.35,0.79,0.000402267586496022,0.447845544397905,0.00122339865315386
TPR,Min 1,48,-16.1771891041666,209.461898563814,standard,-426.722510289242,394.368132080909,0.0324377733835179,0.826752060522653,0.0404906643508467,0.784664920586714,0.666156762352559,0.4,0.81,0.00012949446241937,0.497908280514969,0.000246205727689691
TPR,Min 2,48,-5.1218099583333,203.977987874242,regression,-389.905240452124,379.661620535457,0.305620167313948,0.0346506266325361,0.0585106382978723,0.692823112856141,0.691824318487591,0.45,0.83,4.68383130431363e-05,0.528686251183032,7.92785947397972e-05
ET-CO2,Baseline,44,0.592141215909091,3.33542360967884,fan,-4.09914170272727,5.28342413454545,-0.270395721691028,0.075864787743275,-0.303453136011276,0.0452388667558222,0.869958381509431,0.76,0.93,3.18301768852133e-10,0.76417423000666,1.17407814911352e-10
ET-CO2,Min 1,43,0.273017093023256,2.55186963685995,regression,-4.54795702117285,5.09399120721937,-0.305069361084247,0.0466761462190611,-0.288130474176986,0.0609750467648745,0.444680237268909,-0.03,0.7,0.0299591601621479,0.283536497343285,0.0652185753428932
ET-CO2,Min 2,42,0.857618714285715,3.43714973349744,fan,-3.97112665904762,5.68636408761905,-0.146953549561845,0.353053857396444,-0.38708370472409,0.0113263269597802,0.661006275463552,0.37,0.82,0.000384125593626176,0.478216235890088,0.00114766567109861
MCAv peak,Baseline,46,1.12948157608696,18.8012116617262,standard,-35.7208932808964,37.9798564330703,0.0460229305429559,0.761346302145769,-0.0914585260561209,0.545511296465905,0.611458260625586,0.3,0.79,0.000975360168440413,0.439452710598192,0.00198695420688701
MCAv peak,Min 1,46,-0.672810978260871,7.09581722328855,regression+fan,-10.3316364590566,8.9860145025349,-0.523678251153859,0.000187893362284063,0.29731729879741,0.0447879803718593,0.637835464040508,0.35,0.8,0.000451268271995132,0.465974242615989,0.000929787780479256
MCAv peak,Min 2,46,0.441311804347825,8.38831955553979,standard,-15.9997945245102,16.8824181332058,-0.194959532890567,0.194153327638402,-0.212827628738822,0.155587124144618,0.72892285546816,0.51,0.85,1.25710903028328e-05,0.572777388401033,1.92745947812645e-05
MCAv min,Baseline,46,0.768698282608696,9.29917457364504,standard,-17.4576838817356,18.995080446953,0.0337765939001829,0.823657705192959,-0.108233117483811,0.474004896771028,0.638534229992369,0.35,0.8,0.000441565226197629,0.467271863636018,0.000894289543359984
MCAv min,Min 1,46,-1.01652907608696,5.27212893734461,regression+fan,-8.79267645475395,6.75961830258004,-0.372876626404336,0.0107060075734742,0.361208757323466,0.0136511186723929,0.62148716029649,0.32,0.79,0.000735679576932004,0.441622409932497,0.00187195556003544
MCAv min,Min 2,46,-0.0976557608695657,7.17239554082715,standard,-14.1555510208908,13.9602394991517,0.114757822609053,0.447601617821025,-0.0390379278445883,0.796731309056282,0.607204807548569,0.29,0.78,0.00109506520029106,0.435914710204982,0.00218780625893793
MCAv mean,Baseline,46,0.641878315217391,12.9855109571791,standard,-24.8097231608536,26.0934797912884,0.0405841244373036,0.788860926761062,-0.0814677767499229,0.590417483746435,0.646109228720782,0.36,0.8,0.000347236807147333,0.476601737964985,0.000672521234291693
MCAv mean,Min 1,46,-0.735024913043478,5.63469863898178,regression,-10.79055865178,9.320508825693,-0.4352219275745,0.00250413939611008,0.228985507246377,0.125835266920006,0.676157359605105,0.41,0.82,0.000122103583870528,0.506443676968699,0.000253572622543448
MCAv mean,Min 2,46,0.0178901847826086,7.21997874460841,standard,-14.1332681546499,14.1690485242151,0.0459458562806235,0.7617342762747,0.0492753623188406,0.745028204902622,0.719144932774499,0.49,0.84,2.01395295027012e-05,0.561455368206206,3.13152141137895e-05
MCAv pulse,Baseline,46,0.359003706521739,11.0006462046018,standard,-21.2022628544978,21.9202702675413,-0.00553600418444771,0.970872562651091,0.0358310206598828,0.813117899213962,0.618318356827041,0.31,0.79,0.00080537446246235,0.447242438025446,0.00160084154213639
MCAv pulse,Min 1,46,0.345497663043478,4.6470373116836,standard,-8.76269546785637,9.45369079394333,-0.256952991482932,0.0847339720760669,-0.227012025901943,0.129220356779354,0.431676883318895,-0.03,0.69,0.0305660707239957,0.274124824214189,0.065077125980105
MCAv pulse,Min 2,46,0.540747141304348,5.09994048738492,regression,-8.68210149056872,9.76359577317741,-0.409399401665496,0.00472427745897514,-0.0485353068146778,0.748731802421671,0.565956291192899,0.22,0.76,0.00302380985205634,0.391931074367019,0.00662155295829201
MCAv pulsatility,Baseline,46,-0.0037738153701694,0.103619011809574,standard,-0.206867078516934,0.199319447776595,-0.215335139050491,0.150660161532953,-0.0592661116250385,0.69561664458308,0.727325637064393,0.51,0.85,1.36010452031225e-05,0.571162049819418,2.06827678407706e-05
MCAv pulsatility,Min 1,46,0.0173049630160891,0.0975561124399849,standard,-0.173905017366281,0.20851494339846,0.0170440626855652,0.910486269713994,-0.206537156953438,0.168464934066673,0.400035652063485,-0.08,0.67,0.0450389654111055,0.244138613094271,0.102275817917718
MCAv pulsatility,Min 2,46,0.0137144479277239,0.127807560486292,standard,-0.236788370625408,0.264217266480856,0.0619563513328336,0.682512200827023,-0.0363243909959914,0.810591550383456,0.496631886687174,0.09,0.72,0.0116695620307406,0.327762719730889,0.0256397532935374
CVCi,Baseline,46,0.00586529644899331,0.147060263386067,standard,-0.282372819787698,0.294103412685684,0.123446260791883,0.413731464329733,-0.0607462226333642,0.688395713319186,0.669229183829794,0.4,0.82,0.000157551447840272,0.502482211707842,0.000290328665267153
CVCi,Min 1,46,-0.0229720344607256,0.0812160342201806,regression,-0.169402548070836,0.123458479149385,-0.415469636514995,0.0040872415588639,0.218131359851989,0.14530240512767,0.575225936355378,0.23,0.76,0.00244496492798791,0.384959048615286,0.00778031095103229
CVCi,Min 2,46,0.000151847671897782,0.0803231636269865,standard,-0.157281553036996,0.157585248380791,-0.13720200763787,0.363218041159351,-0.0765340733888375,0.61318204872383,0.74910392818665,0.55,0.86,4.3585063689466e-06,0.598852972092749,5.80059706394028e-06
CVRi,Baseline,41,-0.00478336759550409,0.401952675533844,fan,-0.549780998091825,0.540214262900816,0.119894452582047,0.455270466996761,0.482578397212544,0.00139628583470842,0.616398265692686,0.28,0.8,0.00155518695855206,0.445466813616564,0.00314760930088479
CVRi,Min 1,41,0.119465013086168,0.407007682168364,standard,-0.678270043963826,0.917200070136161,0.261973716884755,0.0980027242921874,0.238850174216028,0.132593191436618,0.461034814170739,-0.01,0.71,0.0269649651338489,0.282124273643331,0.0738390356553054
CVRi,Min 2,41,0.0486448158104111,0.386194255935527,standard,-0.708295925823222,0.805585557444044,0.228087497639352,0.151488997748264,0.30801393728223,0.0500912946520906,0.718629260629013,0.47,0.85,5.59577714272549e-05,0.556851493958224,0.000107573597268501
SmO2,Baseline,46,-0.219706239130436,11.3017254546491,standard,-22.3710881302427,21.9316756519818,0.277765377995639,0.0616205455985955,-0.155720012334258,0.301416957614778,0.791813162712801,0.62,0.88,2.8799062994106e-07,0.655285867111125,2.68441665963004e-07
SmO2,Min 1,45,0.0949201111111116,2.70370983637763,standard,-5.20435116818905,5.39419139041128,0.0556709950909798,0.716436605854077,0.0438735177865613,0.774749226368086,0.151815762338178,-0.54,0.53,0.293665250048698,0.0820482678744695,0.594080938591672
SmO2,Min 2,45,0.528163644444446,4.31788357096597,standard,-7.93488815464886,8.99121544353775,-0.0721332635062812,0.63772480978954,-0.182213438735178,0.230921335817194,0.304237062746523,-0.27,0.62,0.116426686869606,0.177185247317092,0.245829047828612
