Variable,Epoch,n,Visit_1,Visit_1_summary,Visit_2,Visit_2_summary,Fixed_Bias,Fixed_Bias_summary,Comparison_Test,Comparison_P,Effect,Effect_type,MAE,MAPE_%,CV_%,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,CCC_p
TPR,Min 1,48,-110 [223],median_iqr,-82.3 [223],median_iqr,8.72 [212],median_iqr,paired t,0.595117335939221,-0.0772321325027909,paired d,156.828450583333,346.634770113883,-206.092343807854,-16.1771891041666,209.461898563814,standard,-426.722510289242,394.368132080909,0.0324377733835179,0.826752060522653,0.0404906643508467,0.784664920586714,0.666156762352559,0.4,0.81,0.00012949446241937,0.497908280514969,0.000246205727689691
TPR,Min 2,48,-20.2 [251],median_iqr,23.3 [177],median_iqr,-6.23 [202],median_iqr,paired t,0.862640467542759,-0.0251096209532719,paired d,149.666505166667,321.278091549837,895.282098549124,-5.1218099583333,203.977987874242,regression,-389.905240452124,379.661620535457,0.305620167313948,0.0346506266325361,0.0585106382978723,0.692823112856141,0.691824318487591,0.45,0.83,4.68383130431363e-05,0.528686251183032,7.92785947397972e-05
ET-CO2,Min 1,43,-1.21 [2.57],median_iqr,-1.52 [2.77],median_iqr,0.215 [2.5],median_iqr,paired t,0.486822303815571,0.10698708471613,paired d,1.827321,381.602825982078,-139.63724007456,0.273017093023256,2.55186963685995,regression,-4.54795702117285,5.09399120721937,-0.305069361084247,0.0466761462190611,-0.288130474176986,0.0609750467648745,0.444680237268909,-0.03,0.7,0.0299591601621479,0.283536497343285,0.0652185753428932
ET-CO2,Min 2,42,-1.89 [3.53],median_iqr,-2.73 [4.41],median_iqr,1.03 [3.76],median_iqr,paired t,0.113539188898604,0.249514504977079,paired d,2.64682533333333,755.885477545749,-109.986299706111,0.857618714285715,3.43714973349744,fan,-3.97112665904762,5.68636408761905,-0.146953549561845,0.353053857396444,-0.38708370472409,0.0113263269597802,0.661006275463552,0.37,0.82,0.000384125593626176,0.478216235890088,0.00114766567109861
MCAv peak,Min 1,46,-1.76 [5.92],median_iqr,-1.47 [6.79],median_iqr,-0.298 [7.82],median_iqr,Wilcoxon,0.905262388987779,-0.0212765957446809,rank biserial,5.21722560869565,888.955785366121,-661.14261963096,-0.672810978260871,7.09581722328855,regression+fan,-10.3316364590566,8.9860145025349,-0.523678251153859,0.000187893362284063,0.29731729879741,0.0447879803718593,0.637835464040508,0.35,0.8,0.000451268271995132,0.465974242615989,0.000929787780479256
MCAv peak,Min 2,46,-2.07 [8.89],median_iqr,-3.83 [12.4],median_iqr,1.05 [7.14],median_iqr,Wilcoxon,0.487995373570186,0.119333950046253,rank biserial,5.99984508695652,260.41542141561,-194.772892907669,0.441311804347825,8.38831955553979,standard,-15.9997945245102,16.8824181332058,-0.194959532890567,0.194153327638402,-0.212827628738822,0.155587124144618,0.72892285546816,0.51,0.85,1.25710903028328e-05,0.572777388401033,1.92745947812645e-05
MCAv min,Min 1,46,0.697 [5.47],median_iqr,1.98 [5.52],median_iqr,0.00922 [5.04],median_iqr,Wilcoxon,0.522711255983694,-0.110083256244218,rank biserial,3.87051494565217,451.960609472854,332.861581353331,-1.01652907608696,5.27212893734461,regression+fan,-8.79267645475395,6.75961830258004,-0.372876626404336,0.0107060075734742,0.361208757323466,0.0136511186723929,0.62148716029649,0.32,0.79,0.000735679576932004,0.441622409932497,0.00187195556003544
MCAv min,Min 2,46,0.731 [7.01],median_iqr,0.273 [8.38],median_iqr,-0.117 [6.99],median_iqr,Wilcoxon,0.84557383836497,0.0342275670675301,rank biserial,5.01612747826087,317.835760797858,-2098.81755513281,-0.0976557608695657,7.17239554082715,standard,-14.1555510208908,13.9602394991517,0.114757822609053,0.447601617821025,-0.0390379278445883,0.796731309056282,0.607204807548569,0.29,0.78,0.00109506520029106,0.435914710204982,0.00218780625893793
MCAv mean,Min 1,46,1.05 [6.18],median_iqr,1.71 [7.34],median_iqr,-0.0757 [5.14],median_iqr,Wilcoxon,0.753630756145981,-0.0545790934320074,rank biserial,3.95698217391304,146.338765125809,396.628948598971,-0.735024913043478,5.63469863898178,regression,-10.79055865178,9.320508825693,-0.4352219275745,0.00250413939611008,0.228985507246377,0.125835266920006,0.676157359605105,0.41,0.82,0.000122103583870528,0.506443676968699,0.000253572622543448
MCAv mean,Min 2,46,-0.754 +/- 7.85,mean_sd,-0.772 +/- 7.56,mean_sd,0.0179 +/- 7.22,mean_sd,paired t,0.986665877553954,0.00247787222309598,paired d,5.11025638043478,174.755935760543,-946.458589224931,0.0178901847826086,7.21997874460841,standard,-14.1332681546499,14.1690485242151,0.0459458562806235,0.7617342762747,0.0492753623188406,0.745028204902622,0.719144932774499,0.49,0.84,2.01395295027012e-05,0.561455368206206,3.13152141137895e-05
MCAv pulse,Min 1,46,-2.85 [4.22],median_iqr,-2.63 [4.73],median_iqr,0.148 [6.02],median_iqr,paired t,0.616544271644403,0.0743479425428384,paired d,3.67234379347826,300.293775554745,-174.946879325796,0.345497663043478,4.6470373116836,standard,-8.76269546785637,9.45369079394333,-0.256952991482932,0.0847339720760669,-0.227012025901943,0.129220356779354,0.431676883318895,-0.03,0.69,0.0305660707239957,0.274124824214189,0.065077125980105
MCAv pulse,Min 2,46,-4.08 [4.91],median_iqr,-3.71 [5.88],median_iqr,0.205 [6.78],median_iqr,paired t,0.475778230368145,0.106030088516116,paired d,3.98121979347826,134.084026466184,-128.653391906374,0.540747141304348,5.09994048738492,regression,-8.68210149056872,9.76359577317741,-0.409399401665496,0.00472427745897514,-0.0485353068146778,0.748731802421671,0.565956291192899,0.22,0.76,0.00302380985205634,0.391931074367019,0.00662155295829201
MCAv pulsatility,Min 1,46,-0.046 [0.0938],median_iqr,-0.0585 [0.0778],median_iqr,0.00842 [0.0958],median_iqr,Wilcoxon,0.428713185537674,0.135985198889917,rank biserial,0.0720379129073935,443.271786482819,-168.328445224334,0.0173049630160891,0.0975561124399849,standard,-0.173905017366281,0.20851494339846,0.0170440626855652,0.910486269713994,-0.206537156953438,0.168464934066673,0.400035652063485,-0.08,0.67,0.0450389654111055,0.244138613094271,0.102275817917718
MCAv pulsatility,Min 2,46,-0.0577 [0.0944],median_iqr,-0.0448 [0.113],median_iqr,-0.00108 [0.134],median_iqr,Wilcoxon,0.931024838298043,-0.0157261794634598,rank biserial,0.0894764387320717,466.908693776675,-250.682764785505,0.0137144479277239,0.127807560486292,standard,-0.236788370625408,0.264217266480856,0.0619563513328336,0.682512200827023,-0.0363243909959914,0.810591550383456,0.496631886687174,0.09,0.72,0.0116695620307406,0.327762719730889,0.0256397532935374
CVCi,Min 1,46,-0.0401 +/- 0.0586,mean_sd,-0.0172 +/- 0.0874,mean_sd,-0.023 +/- 0.0812,mean_sd,paired t,0.0614195510711262,-0.282850974949691,paired d,0.0621455036731101,765.764802367895,-283.545594644155,-0.0229720344607256,0.0812160342201806,regression,-0.169402548070836,0.123458479149385,-0.415469636514995,0.0040872415588639,0.218131359851989,0.14530240512767,0.575225936355378,0.23,0.76,0.00244496492798791,0.384959048615286,0.00778031095103229
CVCi,Min 2,46,-0.0946 +/- 0.0846,mean_sd,-0.0948 +/- 0.0945,mean_sd,0.000152 +/- 0.0803,mean_sd,paired t,0.989826705954398,0.00189045930266079,paired d,0.0591621245030137,94.0207861713724,-84.8010228397033,0.000151847671897782,0.0803231636269865,standard,-0.157281553036996,0.157585248380791,-0.13720200763787,0.363218041159351,-0.0765340733888375,0.61318204872383,0.74910392818665,0.55,0.86,4.3585063689466e-06,0.598852972092749,5.80059706394028e-06
CVRi,Min 1,41,0.117 [0.24],median_iqr,0.0919 [0.261],median_iqr,0.0333 [0.298],median_iqr,Wilcoxon,0.206455771311084,0.228803716608595,rank biserial,0.24549626090892,2129.55158894469,264.959249869658,0.119465013086168,0.407007682168364,standard,-0.678270043963826,0.917200070136161,0.261973716884755,0.0980027242921874,0.238850174216028,0.132593191436618,0.461034814170739,-0.01,0.71,0.0269649651338489,0.282124273643331,0.0738390356553054
CVRi,Min 2,41,0.236 [0.352],median_iqr,0.285 [0.335],median_iqr,0.000438 [0.343],median_iqr,Wilcoxon,0.827484426185947,0.040650406504065,rank biserial,0.245426423506631,96.579169154569,113.681184499513,0.0486448158104111,0.386194255935527,standard,-0.708295925823222,0.805585557444044,0.228087497639352,0.151488997748264,0.30801393728223,0.0500912946520906,0.718629260629013,0.47,0.85,5.59577714272549e-05,0.556851493958224,0.000107573597268501
SmO2,Min 1,45,0.166 +/- 2.05,mean_sd,0.0708 +/- 1.94,mean_sd,0.0949 +/- 2.7,mean_sd,paired t,0.814907721456739,0.035107358723924,paired d,1.91227302222222,711.358175288657,2286.10650677347,0.0949201111111116,2.70370983637763,standard,-5.20435116818905,5.39419139041128,0.0556709950909798,0.716436605854077,0.0438735177865613,0.774749226368086,0.151815762338178,-0.54,0.53,0.293665250048698,0.0820482678744695,0.594080938591672
SmO2,Min 2,45,-0.0453 [2.84],median_iqr,-0.171 [3.55],median_iqr,0.277 [4.06],median_iqr,paired t,0.416327366283106,0.122320029191127,paired d,3.09186808888889,465.086468563793,-2071.31635798238,0.528163644444446,4.31788357096597,standard,-7.93488815464886,8.99121544353775,-0.0721332635062812,0.63772480978954,-0.182213438735178,0.230921335817194,0.304237062746523,-0.27,0.62,0.116426686869606,0.177185247317092,0.245829047828612
